55704	1033000055705	N	EW	N:73.Q543.KJ63.Q53 AQ954.76.A852.AJ KT.J92.94.T87642 J862.AKT8.QT7.K9	0	5	S	E	NONE	0	4	S	E	NONE
89957	1033000089958	E	EW	N:AJ94.KT92.A94.J8 32.QJ4.KQT72.963 QT865.A63..AKQT7 K7.875.J8653.542	0	5	S	S	NONE	0	6	S	S	NONE
198657	1033000198658	E	NS	N:KJ84.KQ97.864.A9 Q2.JT2.72.J76532 AT973.3.AKQJ.KQ4 65.A8654.T953.T8	0	5	S	S	NONE	0	6	S	S	NONE
208650	1033000208651	S	None	N:AJ92.A765.A84.T7 85.KQJT984.T65.A KQT73.3.K92.QJ52 64.2.QJ73.K98643	0	4	S	S	NONE	0	4	H	E	X
284405	1033000284406	E	EW	N:T.AKQJ972..KQ632 K87432..AKJ6.J84 96.63.T98542.T75 AQJ5.T854.Q73.A9	0	5	D	W	NONE	0	4	S	E	NONE
350133	1033000350134	E	EW	N:K765.A832.AQ3.83 42.QT96.KJ86.976 AQJT93..5.AKQJT2 8.KJ754.T9742.54	0	4	S	S	NONE	0	7	S	S	NONE
382408	1033000382409	N	EW	N:63.KT953.AT32.K9 AQJ97.A.84.QJ843 T4.762.QJ95.T762 K852.QJ84.K76.A5	0	5	S	E	NONE	0	4	S	E	NONE
410218	1033000410219	S	None	N:972.KQ6.T763.652 QT85.AT42.AJ5.Q7 .J95.Q984.KJ9843 AKJ643.873.K2.AT	0	4	S	W	NONE	0	6	S	W	NONE
411632	1033000411633	N	None	N:54.T86.QT6.AK973 AQ973.J3.AK42.JT T6.Q942.J53.8652 KJ82.AK75.987.Q4	0	5	S	E	NONE	0	4	S	E	NONE
441074	1033000441075	S	EW	N:95.T84.A74.AJ943 A843.KQ73.KJ8.T6 JT.J9652.T92.852 KQ762.A.Q653.KQ7	0	5	S	W	NONE	0	4	S	W	NONE
487130	1033000487131	S	None	N:64.K643.762.8732 AK83.QJ82.J84.Q4 52.T95.QT953.JT6 QJT97.A7.AK.AK95	0	6	S	W	NONE	0	7	S	W	NONE
