7019	1017000007020	W	NS	N:52.T7.AKT98.Q943 J73.K862.QJ632.T AKQ986.Q93.5.J82 T4.AJ54.74.AK765	0	2	S	S	NONE	0	3	H	E	NONE
20091	1017000020092	W	NS	N:QT.62.AQ962.J975 65.KQT53.JT74.62 AKJ872.J87.K83.Q 943.A94.5.AKT843	0	2	S	S	NONE	0	3	S	S	NONE
22243	1017000022244	W	Both	N:QJ64.JT7.T96.KJ9 A753.K986.A84.T5 KT8.AQ32.J5.Q874 92.54.KQ732.A632	0	2	S	E	NONE	0	1	NT	S	NONE
37536	1017000037537	N	None	N:A7.KT65.62.AJ842 86.74.KQJT8.KT65 QT9543.J82.A73.7 KJ2.AQ93.954.Q93	0	3	S	S	NONE	0	2	S	S	NONE
49511	1017000049512	W	None	N:98.T6.AQ943.K865 AJ75432.Q98.T.T4 KT6.J42.KJ8765.9 Q.AK753.2.AQJ732	0	5	D	N	X	0	3	C	W	NONE
70345	1017000070346	E	Both	N:Q765.K932.65.983 AK82.QJT.Q4.J764 T9.85.AKT97.QT52 J43.A764.J832.AK	0	4	H	W	NONE	0	3	NT	W	NONE
102153	1017000102154	E	Both	N:Q98.KQT9.K65.A96 K6.42.QJ973.K832 T753.A875.A2.JT7 AJ42.J63.T84.Q54	0	4	H	N	NONE	0	2	H	S	NONE
163884	1017000163885	N	Both	N:J853.K95.432.KJ2 K42.AT74.A97.643 AQ96.8632.Q6.AT7 T7.QJ.KJT85.Q985	0	3	D	W	NONE	0	2	S	N	NONE
175286	1017000175287	S	Both	N:984.AQJ62.K95.K6 J632.K83.Q6432.5 AKQ5.754..QJ8743 T7.T9.AJT87.AT92	0	4	D	W	X	0	4	H	N	NONE
193043	1017000193044	W	Both	N:J2.K4.8754.AKQ42 Q8.63.AQJ92.T863 T543.AJ52.KT6.75 AK976.QT987.3.J9	0	1	D	E	X	0	1	S	W	NONE
205331	1017000205332	W	Both	N:AKQ65.T732.T93.2 T92.Q98.8.AKQT93 J4.64.AQJ64.J765 873.AKJ5.K752.84	0	2	NT	W	NONE	0	4	H	W	NONE
210879	1017000210880	W	EW	N:A7643.AQT6.82.J4 QT8.742.A643.983 K52.KJ83.K5.AT72 J9.95.QJT97.KQ65	0	3	S	N	NONE	0	4	H	N	NONE
220398	1017000220399	S	NS	N:K52.J8732.54.Q86 QJ64.T64.KT87.AK A983.AK9.J2.9732 T7.Q5.AQ963.JT54	0	3	D	W	NONE	0	1	NT	N	NONE
233076	1017000233077	N	NS	N:AK7.854.J9.A6532 98.JT.AQT53.QT87 Q542.K93.876.KJ9 JT63.AQ762.K42.4	0	3	D	E	NONE	0	1	NT	N	NONE
234349	1017000234350	E	None	N:72.T9864.AK86.A8 AQ95.AK.532.9642 T6.Q7.QJT97.KJ75 KJ843.J532.4.QT3	0	3	S	W	NONE	0	2	S	W	NONE
267287	1017000267288	W	None	N:K953.KJ9.6.KJ543 J8.73.KQJ82.QT97 Q742.AQT4.AT5.A6 AT6.8652.9743.82	0	5	S	N	NONE	0	4	S	N	NONE
294155	1017000294156	W	NS	N:T6.KT.AQ652.T832 J83.8542.T9874.7 Q954.QJ73.K3.K96 AK72.A96.J.AQJ54	0	2	D	N	X	0	1	C	W	NONE
304943	1017000304944	W	EW	N:94.Q4.AK962.9752 KQ8753.86.JT4.T3 AT2.AKT752.83.J6 J6.J93.Q75.AKQ84	0	2	S	E	NONE	0	3	S	E	NONE
315481	1017000315482	E	Both	N:A865.K732.Q98.T2 KT2.A54.JT5.AQ54 J3.98.AK764.J873 Q974.QJT6.32.K96	0	2	D	S	NONE	0	1	NT	E	NONE
325861	1017000325862	E	EW	N:KQ5.A862.642.JT6 T964.QT93.AJ.AK7 A2.74.KQT97.8543 J873.KJ5.853.Q92	0	2	S	E	NONE	0	2	S	W	NONE
330517	1017000330518	E	EW	N:83.73.KQ985.A854 KQ64.KT6.J62.963 J972.AQ982.T7.J2 AT5.J54.A43.KQT7	0	1	NT	N	NONE	0	1	NT	W	NONE
362235	1017000362236	W	NS	N:J4.T7.AKT75.J653 KT97.J83.J92.K97 Q65.AQ542.Q63.T8 A832.K96.84.AQ42	0	3	D	N	NONE	0	2	S	E	NONE
368550	1017000368551	S	Both	N:Q8.T3.QJ976.A974 KJT2.J72.AT83.32 A95.K9864.K54.85 7643.AQ5.2.KQJT6	0	2	D	N	NONE	0	2	S	E	NONE
372226	1017000372227	S	EW	N:9832.A743.52.652 AKT4.J9852.AQ4.7 Q76.K6.876.AKJT3 J5.QT.KJT93.Q984	0	2	H	E	NONE	0	1	H	E	NONE
378243	1017000378244	W	Both	N:A7.53.AJT82.T864 JT83.9742.K6.KQ3 654.AQJ6.Q95.972 KQ92.KT8.743.AJ5	0	4	S	W	NONE	0	3	S	W	NONE
450000	1017000450001	N	None	N:QJ52.964.7543.AK AK86.KQJ7.98.974 94.53.AKJ62.J632 T73.AT82.QT.QT85	0	2	C	N	NONE	0	2	H	W	NONE
473955	1017000473956	W	Both	N:98.Q9.AK854.9873 AT432.AT.Q976.54 KJ765.J5432.JT.J Q.K876.32.AKQT62	0	3	C	W	NONE	0	2	S	E	NONE
494599	1017000494600	W	None	N:Q92.T8743.AQ8.Q9 A75.AKJ5.4.AKJT5 K3.Q9.KJT65.8764 JT864.62.9732.32	0	2	D	S	X	0	3	C	E	NONE
494804	1017000494805	N	NS	N:J8.JT.KQJ75.J762 A95.86532.A83.Q9 K432.974.T964.K3 QT76.AKQ.2.AT854	0	2	H	E	NONE	0	2	C	W	NONE
