T	3554	1017000003555	S	EW	N:QJ982.97.KJ63.65 643.QT8.Q954.T94 T5.642.AT82.AK32 AK7.AKJ53.7.QJ87	0	3	H	W	NONE	0	1	H	W	NONE
T	4801	1017000004802	E	NS	N:76.QJ96.Q987.AQT T42.4.AKJ43.J543 AK5.K753.65.K862 QJ983.AT82.T2.97	0	3	H	S	NONE	0	4	H	N	NONE
T	6314	1017000006315	S	None	N:A9654.7.AK5.T754 K7.AT85.J842.982 3.QJ964.QT7.AKQ6 QJT82.K32.963.J3	0	3	C	S	NONE	0	3	NT	S	NONE
T	7397	1017000007398	E	EW	N:K.JT86532.A4.876 5.KQ7.JT85.AQJT4 QJ962.A94.732.93 AT8743..KQ96.K52	0	2	NT	W	NONE	0	4	S	W	NONE
T	37581	1017000037582	E	None	N:96.875.98763.Q87 AK75.T64.Q42.K43 QJT82.A92.T5.T95 43.KQJ3.AKJ.AJ62	0	3	NT	E	NONE	0	3	NT	W	NONE
T	39028	1017000039029	N	NS	N:3.KQT85.A84.K765 QJT76.94.KJ65.84 K9842.J63.T2.AQ2 A5.A72.Q973.JT93	0	3	H	N	NONE	0	4	H	N	NONE
T	44737	1017000044738	E	NS	N:T86.Q542.AJT9.AQ 2.A83.Q76432.J92 AK75.K97.K8.T853 QJ943.JT6.5.K764	0	3	NT	S	NONE	0	4	S	S	NONE
T	45293	1017000045294	E	None	N:KT82.973.A64.AK5 4.KJ8.JT9752.Q76 A53.A652.K8.JT42 QJ976.QT4.Q3.983	0	1	S	W	NONE	0	3	NT	S	NONE
T	47071	1017000047072	W	EW	N:QJ972.A6.63.8743 T5.T52.K872.9652 K64.K9873.J.KQJT A83.QJ4.AQT954.A	0	4	D	W	X	0	3	D	W	NONE
T	49787	1017000049788	W	NS	N:AT6.QJ53.8.KQJT5 QJ932.72.A42.964 8.864.KQJT53.A32 K754.AKT9.976.87	0	3	S	E	NONE	0	3	D	S	NONE
T	50496	1017000050497	N	None	N:QJT32.Q76.Q9.762 K94.53.632.QJ843 A87.842.K875.AT5 65.AKJT9.AJT4.K9	0	3	D	W	NONE	0	2	D	W	NONE
T	59248	1017000059249	N	None	N:KT7.A97.KJ9.J985 QJ984.T84.6532.A A632.KJ52.8.KT43 5.Q63.AQT74.Q762	0	3	H	N	NONE	0	4	H	S	NONE
T	60004	1017000060005	N	NS	N:T54.K64.85.QJ932 A762.QJ32.QT3.75 K.AT95.AKJ96.KT8 QJ983.87.742.A64	0	3	NT	N	NONE	0	3	D	S	NONE
T	62740	1017000062741	N	NS	N:K875.QJT2.4.AQ93 QJ964.965.2.KJ72 A3.K843.KQT987.6 T2.A7.AJ653.T854	0	3	NT	N	NONE	0	4	H	S	NONE
T	63224	1017000063225	N	EW	N:84.A743.T9.JT973 K93.KQT2.QJ753.Q QJT62.J6.82.K862 A75.985.AK64.A54	0	1	S	S	NONE	0	3	NT	W	NONE
T	76395	1017000076396	W	NS	N:K42.QJ85.AQJT.76 QJ976.A74.853.94 T.T63.K976.AKJ83 A853.K92.42.QT52	0	3	S	E	NONE	0	1	NT	S	NONE
T	77991	1017000077992	W	None	N:QJT97.72.A93.654 62.KT96.K8.AJ872 853.AQ85.J765.K3 AK4.J43.QT42.QT9	0	3	C	E	NONE	0	3	NT	W	NONE
T	92989	1017000092990	E	None	N:5.K965.A985.AQJ7 QJT94.873.KJ3.63 K73.AQT2.Q642.T9 A862.J4.T7.K8542	0	3	H	N	NONE	0	4	H	S	NONE
