3554	5-2-4-2	QJ9	H	2	EW	N	0
4801	5-4-2-2	QJ9	C	2	NS	W	0
6314	5-3-3-2	QJT	H	3	None	W	0
7397	5-3-3-2	QJ9	C	2	EW	S	0
14448	5-3-2-3	QJ9	D	2	None	W	1
37581	5-3-3-2	QJT	D	2	None	W	0
39028	5-2-4-2	QJ9	H	3	NS	E	0
44737	5-3-2-3	QJT	D	2	NS	E	0
45293	5-3-1-4	QJ9	H	3	None	W	0
47071	5-3-2-3	QJT	D	2	EW	N	0
49787	5-3-2-3	QJ9	C	3	NS	E	0
50496	5-3-3-2	QJT	C	3	None	N	0
59248	5-3-1-4	QJ9	D	4	None	E	0
60004	5-2-3-3	QJ9	D	3	NS	W	0
62740	5-4-1-3	QJ9	D	1	NS	W	0
63224	5-3-2-3	QJT	C	3	EW	N	0
76395	5-2-4-2	QJ9	C	3	NS	E	0
77991	5-2-3-3	QJT	D	4	None	N	0
92989	5-3-3-2	QJT	C	1	None	E	0
93946	5-3-3-2	QJT	D	3	None	E	0
99104	5-2-3-3	QJ9	D	4	None	E	0
105391	5-3-3-2	QJ9	C	3	EW	N	0
119894	5-3-2-3	QJT	H	3	None	W	1
121958	5-4-3-1	QJ9	D	3	EW	N	1
125403	5-2-4-2	QJT	C	2	None	E	1
132401	5-3-3-2	QJT	C	3	NS	N	1
136706	5-1-4-3	QJ9	D	4	EW	S	1
141346	5-2-4-2	QJT	C	2	None	E	1
146347	5-3-1-4	QJT	D	4	None	S	1
151006	5-2-3-3	QJ9	D	3	NS	W	1
175131	5-1-4-3	QJ9	C	4	NS	S	0
185499	5-3-1-4	QJT	D	4	NS	S	0
186878	5-3-1-4	QJ9	D	3	NS	W	0
188490	5-3-1-4	QJT	C	1	None	N	0
198991	5-2-2-4	QJ9	D	3	EW	N	0
200596	5-4-2-2	QJT	C	3	NS	E	0
213066	5-3-2-3	QJT	D	2	None	N	0
216215	5-2-3-3	QJ9	D	4	None	N	0
218914	5-2-4-2	QJ9	C	4	EW	N	0
250973	5-3-2-3	QJ9	C	2	None	W	0
272157	5-4-2-2	QJ9	C	2	None	W	0
277729	5-4-1-3	QJT	D	4	NS	E	0
280958	5-1-4-3	QJ9	D	3	NS	E	0
281012	5-3-1-4	QJ9	H	4	NS	E	0
289432	5-2-3-3	QJ9	D	3	EW	S	0
292510	5-3-2-3	QJT	D	3	NS	W	0
298173	5-1-3-4	QJT	C	3	None	N	0
303805	5-3-4-1	QJ9	D	3	None	W	0
307354	5-3-3-2	QJT	D	2	None	N	0
315214	5-2-4-2	QJT	H	3	NS	W	0
316319	5-2-4-2	QJT	D	3	EW	N	0
330255	5-2-3-3	QJT	D	3	EW	N	0
331303	5-3-1-4	QJT	D	4	None	N	0
331552	5-3-3-2	QJT	D	3	None	N	0
343375	5-3-1-4	QJ9	D	3	EW	S	0
351781	5-4-2-2	QJT	C	2	EW	S	0
352826	5-2-3-3	QJ9	D	3	None	N	0
352997	5-2-4-2	QJT	D	4	EW	N	0
374731	5-4-2-2	QJ9	D	2	NS	E	0
379947	5-4-2-2	QJT	C	4	NS	E	0
381280	5-3-1-4	QJT	C	1	None	N	0
391492	5-3-3-2	QJT	C	3	NS	E	0
393298	5-3-4-1	QJ9	C	1	EW	E	0
416500	5-2-4-2	QJT	D	4	NS	E	0
417108	5-4-3-1	QJT	C	3	NS	E	0
418027	5-3-3-2	QJT	C	3	NS	W	0
418362	5-1-4-3	QJ9	D	3	None	N	0
418394	5-4-1-3	QJ9	D	4	None	W	0
432658	5-3-1-4	QJT	C	4	EW	N	0
434047	5-2-4-2	QJT	D	3	EW	N	0
438829	5-1-3-4	QJT	D	3	None	E	0
449460	5-2-2-4	QJ9	D	3	NS	E	0
453483	5-3-2-3	QJT	C	2	NS	N	0
455629	5-2-4-2	QJT	D	3	None	W	0
456065	5-3-2-3	QJ9	H	2	NS	S	0
458645	5-2-2-4	QJT	H	3	EW	S	0
465429	5-3-3-2	QJ9	H	2	EW	S	0
472004	5-4-0-4	QJT	C	4	NS	W	0
499373	5-4-3-1	QJ9	H	1	None	S	0
