372302	1023000372303	S	NS	N:T43.2.A752.T9432 AJ62.AQ73.4.KQ76 5.KT984.KQJT86.A KQ987.J65.93.J85	0	4	S	W	NONE	0	1	H	S	NONE
704075	1023000704076	W	NS	N:J642.J97.Q7.AK76 987.A5.JT543.953 A.KT862.AK96.QJ8 KQT53.Q43.82.T42	0	4	H	S	NONE	0	5	H	S	NONE
768378	1023000768379	S	None	N:T6.KJ43.Q862.Q95 AJ74..KT53.A6432 92.AQ9876.A74.K7 KQ853.T52.J9.JT8	0	5	H	S	X	0	4	H	S	NONE
931940	1023000931941	N	NS	N:A.K7432.KQJ63.KJ KQ982.QT5.84.752 JT76.A8.752.QT84 543.J96.AT9.A963	0	3	D	N	NONE	0	3	H	N	NONE
1363263	1023001363264	W	EW	N:KQJT6.872.84.J74 A7.J6.KT652.T832 53.K95.AQ97.A965 9842.AQT43.J3.KQ	0	1	NT	E	NONE	0	2	H	W	NONE
1404135	1023001404136	W	None	N:KQT63.986.J3.J64 A74.QJ42.T95.Q53 J852.T.8762.K982 9.AK753.AKQ4.AT7	0	4	H	W	NONE	0	6	H	W	NONE
1431966	1023001431967	S	NS	N:AJT842.KQ.Q7.Q82 .752.96532.AKJ97 95.A9643.AKT4.65 KQ763.JT8.J8.T43	0	3	C	N	NONE	0	3	S	N	NONE
1656551	1023001656552	W	None	N:AT.KT876.KJT8.Q2 KQ752.Q42.42.765 J4.AJ93.96.AT984 9863.5.AQ753.KJ3	0	4	S	E	X	0	4	H	N	NONE
1775440	1023001775441	N	None	N:A.AQJ987.97542.9 KQ942.T42.T6.Q52 8763.5.AKJ3.KJ63 JT5.K63.Q8.AT874	0	4	D	N	NONE	0	3	NT	S	NONE
1805215	1023001805216	W	EW	N:97.KQT7.QJ64.K75 A4.A9853.AK7.J42 KQJ52.J64.52.T93 T863.2.T983.AQ86	0	1	NT	N	NONE	0	2	D	E	NONE
1822544	1023001822545	N	None	N:T3.AQJT3.AJ62.62 KQ852.942.54.QT3 9.865.Q93.KJ9754 AJ764.K7.KT87.A8	0	4	S	E	NONE	0	4	S	W	NONE
2147055	1023002147056	W	EW	N:KQT52.JT7.J9.987 763.96.AQ6432.KJ A94.K3.T5.A65432 J8.AQ8542.K87.QT	0	4	H	W	NONE	0	3	H	W	NONE
2172368	1023002172369	N	None	N:62.AKT954.Q.Q872 KQJT4.J32.T4.T43 A953.6.J87653.J5 87.Q87.AK92.AK96	0	3	NT	W	NONE	0	1	S	S	X
2356714	1023002356715	S	None	N:J6.75.A753.A8632 T985.T4.J64.KJ54 A3.AKQJ63.KQT8.7 KQ742.982.92.QT9	0	4	H	S	NONE	0	5	D	S	NONE
2842458	1023002842459	S	None	N:9872..JT8632.KJ6 A.K85432.A.AQ532 KQJ63.J97.74.T94 T54.AQT6.KQ95.87	0	6	H	E	NONE	0	4	H	E	NONE
