9868	1036000009869	N	Both	N:T4.Q8763.KT53.82 Q9732.K.AQ98.AT3 K5.JT92.2.K97654 AJ86.A54.J764.QJ	0	5	S	E	NONE	0	4	S	E	NONE
40050	1036000040051	S	EW	N:6532.AQ7.T753.AK 8.83.QJ64.T98752 AQJT7.652.AK92.J K94.KJT94.8.Q643	0	5	S	S	NONE	0	4	S	S	NONE
65060	1036000065061	N	NS	N:QT653.AJ92.K.AJ5 4.T843.8763.K643 AKJ8.765.QJ95.QT 972.KQ.AT42.9872	0	5	S	N	NONE	0	4	S	N	NONE
79669	1036000079670	E	EW	N:9.83.Q9874.KQT73 AT763.AQJT7.A.86 842.942.JT6.A954 KQJ5.K65.K532.J2	0	5	S	E	NONE	0	4	S	E	NONE
108768	1036000108769	N	None	N:982.Q92.KJT62.64 AKQ74.6..KQT9753 6.KT8754.9754.A8 JT53.AJ3.AQ83.J2	0	5	S	E	NONE	0	6	S	E	NONE
183933	1036000183934	E	None	N:AT53.AQ4.K953.52 9.JT962.T72.J864 QJ862..AQJ86.AQT K74.K8753.4.K973	0	5	S	S	NONE	0	6	S	S	NONE
253057	1036000253058	E	NS	N:9.QT863.J4.KT432 KQ543.9.K96.AQ86 J62.K752.QT83.J9 AT87.AJ4.A752.75	0	5	S	E	NONE	0	4	S	E	NONE
314861	1036000314862	E	None	N:95.J5.76.AJT8763 AJ763.AQ86.AJ.Q9 K4.9732.T8432.54 QT82.KT4.KQ95.K2	0	4	S	E	NONE	0	5	S	E	NONE
388865	1036000388866	E	NS	N:Q62.QT82.J32.T43 AKJT83.AK.T9.Q52 .7654.Q754.K9876 9754.J93.AK86.AJ	0	4	S	E	NONE	0	6	S	E	NONE
405221	1036000405222	E	EW	N:Q987.AT2.AKT9.75 J.J853.QJ8632.Q6 AT654.7..AKJT843 K32.KQ964.754.92	0	4	S	S	NONE	0	6	S	S	NONE
407324	1036000407325	N	Both	N:5.K8654.62.QJ832 AT763.Q2.AKJ84.K KJ9.T93.53.T9754 Q842.AJ7.QT97.A6	0	5	S	E	NONE	0	4	S	E	NONE
455376	1036000455377	N	None	N:Q8632.KJ7.A8.Q63 T75.9632.K7654.K AKJ4.T85.JT92.A8 9.AQ4.Q3.JT97542	0	3	S	N	NONE	0	4	S	N	NONE
465578	1036000465579	S	None	N:KT76.K93.KJ83.QJ 4.J8754.Q974.AT4 AQJ982.A2.A5.862 53.QT6.T62.K9753	0	4	S	S	NONE	0	6	S	S	NONE
621895	1036000621896	W	None	N:AJ864.A7..QJ9754 QT93.QJT6.K85.63 K752.432.AQJ4.KT .K985.T97632.A82	0	4	S	N	NONE	0	6	S	N	NONE
679093	1036000679094	E	EW	N:72.87.KQ854.J764 AKQ85.AQJ93.T6.8 96.T64.32.KQT532 JT43.K52.AJ97.A9	0	6	S	E	NONE	0	4	S	E	NONE
683557	1036000683558	E	EW	N:AKT8.A62.Q832.76 542.J7.JT65.AQT2 QJ973.K3.AK.K543 6.QT9854.974.J98	0	5	S	S	NONE	0	6	S	S	NONE
743729	1036000743730	E	NS	N:74.982.94.QT9764 AKJ32.Q5.AJ63.32 65.KJT43.Q75.KJ8 QT98.A76.KT82.A5	0	6	S	E	NONE	0	4	S	E	NONE
800472	1036000800473	N	EW	N:A8743.KQJ4.J2.A9 Q962.8765.AK5.K5 KJT5.AT3.Q764.QJ .92.T983.T876432	0	5	S	N	NONE	0	4	S	N	NONE
893323	1036000893324	W	NS	N:QJT954.A7.K8.AQ5 8.JT3.AT52.J8762 AK63.654.QJ93.K9 72.KQ982.764.T43	0	4	S	N	NONE	0	6	S	N	NONE
944877	1036000944878	E	None	N:T953.AT4.KQ76.AT K82.5.AT432.Q953 AQJ74.KQ8.J.K742 6.J97632.985.J86	0	5	S	S	NONE	0	4	S	S	NONE
