1	1285	N	NS	N:J5.63.Q98632.943 QT973.AJ.A75.A65 AK64.T7542.J.T72 82.KQ98.KT4.KQJ8	0	3	NT	E	NONE	0	3	NT	E	NONE
2	5486	E	None	N:A762.JT3.T54.985 K8.K87.AK76.AT73 QT94.AQ942.93.Q6 J53.65.QJ82.KJ42	0	2	C	S	X	0	2	S	N	NONE
3	6486	E	EW	N:9.T763.32.KT7432 AKQ53.A.KQJ6.Q98 T87.Q982.T94.J65 J642.KJ54.A875.A	0	6	S	E	NONE	0	6	S	E	NONE
4	7327	S	NS	N:KQ53.AQ53.4.QJT8 872.KJ4.Q752.974 JT964.T6.AK963.A A.9872.JT8.K6532	0	4	S	S	NONE	0	4	S	S	NONE
5	7824	W	EW	N:KT754.KQJ5.42.63 A963.642.K87.A84 J8.T7.JT953.JT92 Q2.A983.AQ6.KQ75	0	2	C	N	X	0	3	NT	W	NONE
6	8555	S	None	N:T54.KT2.Q75.J872 AKJ.85.AJ64.QT64 Q9872.A943.K9.53 63.QJ76.T832.AK9	0	3	C	S	X	0	3	NT	E	NONE
7	8861	N	Both	N:Q86.63.T762.J872 A5.J4.A84.AKT543 KJ97.K9752.KJ.96 T432.AQT8.Q953.Q	0	2	C	S	X	0	3	NT	E	NONE
8	8890	E	Both	N:Q4.A653.9654.AJ6 T965.84.T83.T954 K72.KQ.KQ72.K873 AJ83.JT972.AJ.Q2	0	3	NT	S	NONE	0	3	NT	S	NONE
9	9170	E	NS	N:KJ.QT63.A52.AK98 AT852.K542.T86.T Q3.AJ87.KJ3.7653 9764.9.Q974.QJ42	0	3	C	E	X	0	3	NT	N	NONE
10	9760	W	EW	N:AKJ97.K.Q73.KT74 642.JT84.K2.8632 QT53.AQ72.AJ98.5 8.9653.T654.AQJ9	0	5	S	N	NONE	0	6	S	N	NONE
