101150286	8	100	9	-140	1	-140	1S-EW+2|1H-EW+2	4,9,4,9,3,9,3,9,4,9,4,9,4,9,4,9,4,8,4,8
101151193	13	520	13	1020	1	1520	7N-NS	9,4,8,4,13,0,13,0,10,2,10,3,13,0,13,0,13,0,13,0
101151340	8	-100	5	-400	1	600	5C-NS	7,6,7,6,5,7,5,7,7,5,8,5,11,2,11,2,8,5,8,5
101151454	8	-100	6	-300	1	110	3D-NS	5,8,5,8,6,7,6,7,9,4,9,4,8,4,8,4,6,7,6,7
101152112	9	-50	9	110	1	430	3N-NS+1	7,6,7,6,9,4,9,4,10,2,10,2,9,3,9,3,10,2,10,2
101154602	11	100	11	-650	1	-660	3N-EW+2	5,8,5,8,2,11,2,11,2,11,2,11,2,11,2,11,2,11,2,11
101155562	9	-600	10	-130	1	-600	3N-EW	6,6,6,7,5,7,6,7,3,10,3,10,5,7,5,8,4,9,4,9
101155861	9	-140	7	150	1	-140	2H-EW+1	4,7,4,7,3,9,3,9,2,9,2,9,8,5,8,5,4,6,4,6
101157161	10	-130	11	-660	1	-660	3N-EW+2	2,11,2,11,2,11,2,11,2,10,2,10,5,8,5,8,2,11,2,11
101157177	11	150	8	-50	1	400	5D-NS	3,9,4,9,9,4,9,4,11,2,11,2,5,8,5,8,8,3,8,3
101158138	11	460	13	940	1	1440	7D-NS	10,3,10,2,11,2,11,2,13,0,13,0,12,1,12,1,11,1,11,1
101158586	8	100	9	100	1	-140	1S-EW+2	3,9,3,9,5,8,4,8,2,10,2,10,5,8,4,8,5,8,5,8
101159140	10	130	6	-100	1	100	4D*-EW-1|4S*-EW-1	4,9,4,9,5,8,5,8,3,9,3,9,10,3,10,3,6,6,6,6
101159246	12	680	12	1430	1	1430	6H-NS	9,3,9,3,12,1,12,1,7,6,7,6,10,2,11,2,11,2,11,2
101159253	13	720	13	1470	1	2220	7N-NS	13,0,13,0,11,2,11,2,11,1,11,1,13,0,13,0,13,0,13,0
101159304	8	-90	5	200	1	140	2S-NS+1|2H-NS+1	9,4,9,4,9,4,9,4,8,5,8,5,4,8,4,8,4,5,4,5
101160224	11	-50	9	-50	1	450	4H-NS+1	9,3,9,3,11,0,11,0,9,1,9,2,6,6,6,6,8,5,8,5
