101150286	S	Both	N:A6.JT93.JT73.754 JT987.K86.98642. K5432.75.K5.KJT3 Q.AQ42.AQ.AQ9862	0	3	N	E	NONE	0	3	H	W	NONE
101151193	E	EW	N:AQ87.KT953.A7.T6 KJ943.Q4.T952.43 2.AJ.Q863.AKQJ82 T65.8762.KJ4.975	0	3	N	N	NONE	0	6	N	N	NONE
101151340	N	Both	N:A5.AJ72.AJ.KQT72 T2.KQ3.Q965.A543 KJ83.T.8432.J986 Q9764.98654.KT7.	0	3	N	S	NONE	0	3	H	N	NONE
101151939	W	None	N:KJT9853.J.KQ42.T 2.AKT2.J8653.K64 AQ7.86543.T97.32 64.Q97.A.AQJ9875	0	4	S	N	NONE	0	3	S	N	NONE
101152593	E	None	N:A63.T4.AT82.KJ93 J74.AJ872.Q5.842 KQ85.653.J973.65 T92.KQ9.K64.AQT7	0	3	N	S	NONE	0	2	N	S	NONE
101153477	E	NS	N:Q4.KT84.KQ92.852 A65.32.AJT7.KJT6 J973.AQ75.8643.Q KT82.J96.5.A9743	0	3	N	N	NONE	0	4	H	S	NONE
101154600	N	None	N:AJT5.J987.42.853 KQ87.AT53.Q3.KJ6 9432.Q6.AKT6.T74 6.K42.J9875.AQ92	0	4	S	S	NONE	0	3	S	S	NONE
101154797	E	NS	N:Q984.AT9.AQ95.A8 J65.KJ754.K3.754 KT32.632.T872.KQ A7.Q8.J64.JT9632	0	3	N	N	NONE	0	4	N	N	NONE
101155249	E	None	N:QT9532.AQ4.62.QT KJ.K2.KJ97543.54 A864.T83.AQ8.987 7.J9765.T.AKJ632	0	4	S	N	NONE	0	3	S	N	NONE
101155497	E	EW	N:AKQJ5.KJ93.A6.43 8764.AQ64.KQ7.A8 T932.T5.53.JT975 .872.JT9842.KQ62	0	4	S	N	NONE	0	3	S	N	NONE
101155557	E	EW	N:J8.JT84.QT53.QJ7 AQ63.Q62.AK86.42 K97542.K53.J7.K6 T.A97.942.AT9853	0	3	N	N	NONE	0	2	N	N	NONE
101155916	N	EW	N:AKQ93.Q6.JT65.J2 J764.94.AKQ9.Q87 2.AJT75.742.T965 T85.K832.83.AK43	0	3	S	N	NONE	0	2	S	N	NONE
101156265	E	None	N:QJT9.KQ765.AT.43 A8.432.KJ872.J96 K643.AJT.964.Q85 752.98.Q53.AKT72	0	4	S	N	NONE	0	3	S	N	NONE
101156678	S	NS	N:K9.KQ84.T87.Q742 A642.T73.AKJ9.T3 QJ83.9652.643.K5 T75.AJ.Q52.AJ986	0	3	N	E	NONE	0	2	N	E	NONE
101157262	S	NS	N:AQJ54.K9.T32.AK4 6.QJT843.95.QJ76 K9872.A72.AJ86.T  T3.65.KQ74.98532	0	4	S	N	NONE	0	3	S	N	NONE
101157411	W	None	N:AKT64.KJ72.2.932 J83.Q3.KQJ98.A86 Q9752.9864.T5.J7 .AT5.A7643.KQT54	0	4	S	N	NONE	0	3	S	N	NONE
