S1	15270	992000015271
S1	24183	992000024184
S1	26151	992000026152
S1	29163	992000029164
S1	30717	992000030718
S1	32044	992000032045
S1	32341	992000032342
S1	35760	992000035761
S1	36634	992000036635
S1	37651	992000037652
S1	42181	992000042182
S1	43099	992000043100
S1	47169	992000047170
S1	53317	992000053318
S1	53772	992000053773
S1	54144	992000054145
S1	56612	992000056613
S1	61396	992000061397
S1	66989	992000066990
S1	75069	992000075070
S1	76173	992000076174
S1	76890	992000076891
S1	76907	992000076908
S1	80218	992000080219
S1	80763	992000080764
S1	80986	992000080987
S1	81436	992000081437
S1	83196	992000083197
S1	83398	992000083399
S1	89200	992000089201
S1	90877	992000090878
S1	92184	992000092185
S1	95572	992000095573
S1	97269	992000097270
S1	97312	992000097313
S1	99417	992000099418
S2	1902	992100001903
S2	3361	992100003362
S2	8209	992100008210
S2	11421	992100011422
S2	12047	992100012048
S2	18922	992100018923
S2	21395	992100021396
S2	28551	992100028552
S2	38587	992100038588
S2	40839	992100040840
S2	41879	992100041880
S2	43349	992100043350
S2	46087	992100046088
S2	48653	992100048654
S2	55081	992100055082
S2	60616	992100060617
S2	63702	992100063703
S2	69342	992100069343
S2	73056	992100073057
S2	74107	992100074108
S2	77088	992100077089
S2	79653	992100079654
S2	84316	992100084317
S2	84841	992100084842
S2	87528	992100087529
S2	87594	992100087595
S2	87611	992100087612
S2	94107	992100094108
S3	833	992200000834
S3	1690	992200001691
S3	5362	992200005363
S3	13309	992200013310
S3	21732	992200021733
S3	38239	992200038240
S3	44845	992200044846
S3	50426	992200050427
S3	54498	992200054499
S3	70000	992200070001
S3	70109	992200070110
S3	72574	992200072575
S3	73881	992200073882
S3	75882	992200075883
S3	77771	992200077772
S3	88824	992200088825
S3	89324	992200089325
S3	96340	992200096341
S3	99674	992200099675
S3	99908	992200099909
S4	6154	992300006155
S4	8528	992300008529
S4	10444	992300010445
S4	14839	992300014840
S4	17551	992300017552
S4	31617	992300031618
S4	32562	992300032563
S4	33319	992300033320
S4	37782	992300037783
S4	43708	992300043709
S4	59161	992300059162
S4	59346	992300059347
S4	61750	992300061751
S4	61823	992300061824
S4	71354	992300071355
S4	76584	992300076585
S4	76693	992300076694
S4	77898	992300077899
S4	79665	992300079666
S4	82554	992300082555
S4	84694	992300084695
S4	86557	992300086558
S4	87286	992300087287
S4	92301	992300092302
S5	2323	992400002324
S5	4991	992400004992
S5	7335	992400007336
S5	15245	992400015246
S5	19621	992400019622
S5	21464	992400021465
S5	22013	992400022014
S5	27292	992400027293
S5	28360	992400028361
S5	32749	992400032750
S5	37881	992400037882
S5	47327	992400047328
S5	57042	992400057043
S5	69053	992400069054
S5	81171	992400081172
S5	81715	992400081716
S5	82448	992400082449
S5	84598	992400084599
S5	85746	992400085747
S5	86294	992400086295
S5	87089	992400087090
S5	89063	992400089064
S5	89305	992400089306
S5	94380	992400094381
S5	96697	992400096698
